"id","datum","lactatie","dim","productie","BSK","Vet","Eiwit","voer1","voer2","Voer3","Melkingen","Weigeringen","Herkauwminuten","Totale vreettijd in minuten"
"28",5036,2026-03-24,6,100,42.1,47.9,4.96,3.67,4,0,NA,2,0,854,254
"29",5036,2026-02-25,6,73,50.4,52.4,4.43,3.85,4,0,NA,4,8,853,302
"30",7013,2026-06-26,NA,NA,NA,NA,NA,NA,0.4,0.6,NA,NA,NA,85,41
"31",5036,2026-01-26,6,43,54.6,54.6,4.53,3.54,4,0,NA,3,4,849,251
"32",5963,2026-03-03,3,166,26.3,37.1,4.84,3.75,2.11,0.32,NA,1,0,849,217
"33",5036,2026-01-10,6,27,50.2,51.2,4.58,3.7,4,0,NA,4,0,847,298
"34",5963,2025-12-06,3,79,37.8,43.4,4.42,3.6,4,0.5,NA,2,0,847,156
"35",5036,2026-02-08,6,56,55.1,55.1,4.28,3.46,4,0,NA,4,6,846,248
"36",5036,2026-03-04,6,80,50.9,53,4.59,3.78,4,0,NA,3,5,846,313
"37",73429,2026-06-28,4,99,49.6,53.6,4.54,3.38,5,0.5,NA,2,0,846,106
"38",5036,2026-06-29,6,197,41.7,57.1,4.61,3.68,3.95,1,NA,3,4,845,185
"39",73429,2026-08-21,4,153,51.9,65.4,4.34,3.38,4.5,1,NA,3,0,845,24
"40",5036,2026-07-08,6,206,42.4,61.5,4.54,3.76,3.98,1,NA,4,2,844,295
"41",5963,2025-12-10,3,83,35.8,43.3,4.29,3.47,4,0.5,NA,2,0,844,105
"42",5729,2026-02-08,2,197,50.1,74.7,4.26,3.21,3.5,0.5,NA,2,0,843,134
"43",6628,2026-03-22,1,117,30.4,47.8,4.89,3.47,3.5,0,NA,2,6,843,301
"44",6628,2026-05-26,1,182,37.3,63,4.06,3.71,2.38,1,NA,4,13,843,228
"45",5036,2026-06-21,6,189,43.4,59.5,4.5,3.8,4.13,1,NA,2,1,841,257
"46",5036,2026-06-28,6,196,40.6,55.6,4.55,3.72,3.97,1,NA,4,5,841,240
"47",40304,2025-11-28,4,23,53.1,55.8,4.02,3.37,4,0.5,NA,4,4,840,261
"48",6628,2026-06-27,1,214,35.8,61.3,3.82,3.59,4,0.9,NA,4,3,840,255
"49",5036,2026-06-22,6,190,44,60.3,4.61,3.79,4.03,1,NA,4,5,839,271
"50",5963,2026-02-05,3,140,34.3,46.4,4.83,3.33,3.75,0.25,NA,2,0,839,249
"51",5963,2026-02-01,3,136,33.6,44,4.67,3.65,3.85,0.15,NA,1,0,838,179
"52",40304,2026-05-28,4,204,47.1,66.8,3.73,3.22,3.5,1,NA,3,0,838,130
"53",5036,2026-03-05,6,81,52.5,56.6,4.61,3.8,4,0,NA,3,2,837,293
"54",5036,2026-07-06,6,204,43.1,62.5,4.55,3.76,3.95,1,NA,3,9,837,274
"55",6628,2025-12-12,1,17,42.7,78.6,4.4,3.26,3.18,0.5,NA,4,1,837,256
"56",5729,2026-07-12,3,25,50.4,53.4,3.9,3.51,5,0.5,NA,3,0,835,121
"57",40392,2026-06-28,4,203,29.3,42.6,3.95,3.76,3.02,1,NA,1,0,835,134
"58",6628,2025-12-13,1,18,41.6,76.6,4.51,3.26,3.26,0.5,NA,4,0,835,251
"59",5729,2025-12-09,2,136,55.3,73.5,4.07,3.28,4,0.5,NA,2,2,834,126
"60",5729,2026-05-01,2,279,36.8,67.8,4.6,3.61,1.86,0.48,NA,2,0,834,83
"61",6153,2026-01-15,2,128,35.2,47.8,5.01,3.48,4,0,NA,2,0,834,233
"62",5963,2026-05-09,3,233,31.8,50.6,5.12,3.67,2.18,0.33,NA,2,0,834,135
"63",6153,2025-12-10,2,92,37.3,47.4,4.63,3.57,4,0.5,NA,2,0,833,237
"64",40392,2026-06-27,4,202,28.5,41.3,3.88,3.78,3.06,1,NA,2,1,832,131
"65",73429,2026-06-20,4,91,60.3,65.1,4.21,3.49,5,0.5,NA,2,0,832,147
"66",40304,2026-07-03,4,240,43.8,65.7,3.98,3.19,4.04,1,NA,3,4,831,136
"67",6628,2026-05-07,1,163,37.7,62.5,4.21,3.74,2.28,0.4,NA,3,4,831,225
"68",50516,2026-09-07,4,240,12.5,19.4,4.1,3.21,3.71,1,NA,1,0,83,46
"69",6153,2026-01-20,2,133,35.3,48,5.15,3.45,3.93,0.08,NA,2,0,829,222
"70",5036,2026-05-09,6,146,46.3,57.4,4.43,3.78,3.6,0.4,NA,3,0,828,260
"71",6628,2026-05-25,1,181,36.8,62.1,3.97,3.76,2.38,1,NA,3,6,828,262
"72",5729,2025-12-28,2,155,52.7,73.2,4.11,3.21,4,0.5,NA,3,1,827,223
"73",6153,2026-01-19,2,132,35.8,48.7,5.24,3.43,3.95,0.05,NA,3,0,827,301
"74",5729,2025-11-12,2,109,48.3,61.3,4.23,3.32,4,0.5,NA,3,2,826,216
"75",6153,2025-12-28,2,110,35.9,47.4,5.07,3.43,4,0.5,NA,1,0,826,267
"76",6628,2025-12-09,1,14,40.1,73.8,4.46,3.28,2.93,0.5,NA,3,5,826,199
"77",6628,2026-05-23,1,179,36.5,60.6,4.15,3.78,2.39,1,NA,4,6,826,288
"78",5036,2026-06-30,6,198,39.9,54.7,4.64,3.69,3.94,1,NA,3,5,825,235
"79",5036,2026-06-23,6,191,44.7,61.2,4.57,3.78,4,1,NA,3,3,824,285
"80",5729,2025-11-14,2,111,47.5,60.4,4,3.27,4,0.5,NA,3,1,824,203
"81",5729,2026-07-05,3,18,46.4,50.2,4.06,3.68,4.5,0.5,NA,3,1,824,127
"82",6153,2025-11-23,2,75,37.2,45,4.64,3.43,4,0.5,NA,2,0,824,274
"83",6628,2026-05-01,1,157,35.4,58.1,4.75,4,2.27,0.4,NA,3,4,824,273
"84",6628,2026-05-24,1,180,37.4,63.1,4.12,3.73,2.38,1,NA,3,6,824,318
"85",5963,2026-07-05,3,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,823,77
"86",5036,2026-07-13,6,211,43.6,63.2,4.59,3.81,4.07,1,NA,3,5,822,288
"87",5963,2026-02-06,3,141,34.9,47.1,4.65,3.42,3.73,0.28,NA,2,1,822,196
"88",5963,2026-04-24,3,218,33.8,51.4,4.91,3.73,2.22,0.33,NA,2,0,822,222
"89",40304,2026-01-19,4,75,56.9,60.3,3.61,2.97,4,0,NA,3,0,822,264
"90",40304,2026-06-04,4,211,50.3,71.5,3.85,3.24,4.5,1,NA,3,2,822,202
"91",5036,2026-05-02,6,139,46.3,55.1,4.77,3.81,3.78,0.23,NA,3,0,821,273
"92",5036,2026-05-25,6,162,44.9,58.3,4.47,3.81,3.06,1,NA,2,0,821,273
"93",5036,2026-02-03,6,51,52.3,52.3,4.45,3.51,4,0,NA,3,5,820,315
"94",5036,2026-01-21,6,38,54,55.1,4.54,3.61,4,0,NA,4,5,819,221
"95",5036,2026-07-19,6,217,43.8,63.5,4.54,3.76,4.93,0.2,NA,3,5,819,307
"96",73429,2026-05-30,4,70,61.9,63.7,3.94,3.43,4.6,0.5,NA,2,0,819,268
"97",5036,2026-08-14,6,243,42.1,70.3,4.53,3.5,3.96,1,NA,2,1,818,301
"98",5729,2025-12-04,2,131,55.1,73.2,4.1,3.35,4,0.5,NA,3,2,818,184
"99",5729,2025-12-15,2,142,57.4,79.8,4.04,3.3,4,0.5,NA,3,0,818,199
"100",5963,2026-02-04,3,139,31.3,41,5.02,3.42,3.78,0.23,NA,2,0,818,232
"101",73429,2026-08-19,4,151,50.7,63.8,4.34,3.41,4.5,1,NA,2,0,818,30
"102",5036,2026-01-22,6,39,56.4,57.6,4.43,3.62,4,0,NA,4,1,817,297
"103",5036,2026-01-28,6,45,49.7,49.7,4.47,3.56,4,0,NA,4,1,817,257
"104",40304,2025-12-13,4,38,55.1,57.9,3.43,3.32,4,0.5,NA,3,0,817,215
"105",73429,2026-06-29,4,100,50.7,57.8,4.76,3.37,5,0.5,NA,3,0,817,87
"106",5036,2026-03-10,6,86,53.7,57.9,4.4,3.81,4,0,NA,3,3,816,341
"107",5036,2026-05-28,6,165,43.2,56.2,4.44,3.82,3.1,1,NA,2,0,816,179
"108",6153,2026-01-21,2,134,33.3,45.2,5.07,3.45,3.9,0.1,NA,3,0,816,190
"109",73429,2026-06-27,4,98,49.5,53.5,4.29,3.37,5,0.5,NA,2,0,816,177
"110",73429,2026-08-23,4,155,50.8,64,4.34,3.38,4.5,1,NA,2,0,816,28
"111",40304,2026-01-12,4,68,54.1,57.3,3.79,3.02,4,0,NA,3,0,815,285
"112",50516,2026-01-14,4,4,39.8,NA,3.97,4.6,2.38,0,NA,2,1,815,158
"113",5036,2026-02-12,6,60,51.5,53.6,4.34,3.55,4,0,NA,3,0,814,332
"114",5036,2026-05-26,6,163,46.1,60,4.47,3.82,3.11,1,NA,3,0,814,247
"115",5036,2026-07-05,6,203,43.4,62.9,4.52,3.75,3.84,1,NA,3,4,814,306
"116",6144,2026-06-11,2,274,42,73.9,4.14,3.64,3.5,1,NA,2,0,814,296
"117",5963,2026-03-27,3,190,32.3,47.1,4.82,3.81,2.26,0.34,NA,2,0,814,258
"118",40304,2026-06-01,4,208,48.9,69.5,3.88,3.25,4.5,1,NA,3,0,814,167
"119",73429,2026-08-22,4,154,49.4,62.2,4.3,3.39,4.5,1,NA,2,0,814,61
"120",5729,2025-12-07,2,134,56.8,75.5,4.13,3.32,4,0.5,NA,3,1,813,170
"121",6153,2026-03-05,2,177,30.1,44,5.5,3.56,2.1,0.32,NA,2,0,813,202
"122",5963,2026-02-27,3,162,31.6,44.6,4.66,3.77,2.3,0.33,NA,2,0,813,204
"123",6628,2026-06-25,1,212,38,64.9,3.8,3.56,4,0.9,NA,4,4,813,324
"124",5036,2026-01-13,6,30,48.3,49.2,4.81,3.61,4,0,NA,3,0,812,238
"125",5729,2025-12-06,2,133,57.1,75.9,4.06,3.35,4,0.5,NA,3,0,812,181
"126",5729,2025-12-10,2,137,57.6,76.5,4.01,3.31,4,0.5,NA,3,0,812,163
"127",5729,2025-12-26,2,153,52.6,73.1,4.2,3.18,4,0.5,NA,2,0,812,228
"128",5729,2026-07-15,3,28,50.3,53.3,4,3.5,5,0.5,NA,3,0,812,87
"129",5963,2026-06-21,3,276,25.1,44.3,4.92,3.61,2.62,1,NA,1,0,812,129
"130",73344,2026-07-24,5,78,34.5,36.2,4.95,3.39,5.5,0,NA,1,0,812,227
"131",40304,2026-03-12,4,127,48.7,59.4,3.87,3.3,4,0,NA,3,0,812,251
"132",6524,2026-06-18,1,281,30.6,57,4.39,3.9,3.41,0.9,NA,2,6,812,250
"133",5036,2026-03-18,6,94,40.7,43.9,4.77,3.73,4,0,NA,2,2,811,187
"134",5714,2025-12-26,3,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,811,342
"135",73429,2026-05-28,4,68,61,62.8,4.05,3.46,4,0.5,NA,2,0,811,176
"136",50516,2026-08-14,4,216,48.5,70.3,3.83,3.38,4.23,1,NA,2,1,811,179
"137",6628,2026-06-23,1,210,38.6,65.9,3.76,3.54,4,0.9,NA,3,5,811,294
"138",5036,2026-01-20,6,37,55.5,56.6,4.6,3.62,4,0,NA,3,1,810,256
"139",5036,2026-03-07,6,83,52.7,56.9,4.38,3.81,4,0,NA,3,2,810,345
"140",6144,2026-03-21,2,192,44.8,67.2,4.3,3.73,3.03,0.44,NA,2,0,810,351
"141",5963,2026-04-26,3,220,34,54.1,4.85,3.76,2.25,0.34,NA,2,0,810,294
"142",40304,2026-07-09,4,246,47.1,74.8,3.89,3.28,4.07,1,NA,3,2,810,151
"143",6628,2026-01-23,1,59,30.9,46.4,4.05,3.51,4,0,NA,1,0,810,302
"144",6628,2026-06-28,1,215,35.5,60.8,3.96,3.51,4,0.9,NA,3,5,810,308
"145",6964,2026-05-03,1,67,31.3,48.8,4.46,3.88,3.5,0,NA,3,3,810,161
"146",5663,2026-09-07,4,275,9.9,18.1,6.06,2.93,2.94,1,NA,2,3,81,261
"147",40362,2026-09-06,4,276,12.3,22.5,4.65,3.07,2.83,1,NA,2,0,81,100
"148",5963,2026-07-02,3,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,809,196
"149",6628,2025-12-11,1,16,43.4,79.8,4.6,3.29,3.1,0.5,NA,3,3,809,213
"150",6628,2026-03-04,1,99,36.1,55.3,4.06,3.81,3.5,0,NA,3,1,809,333
"151",5036,2025-12-30,6,16,54,61,4.21,3.74,3.52,0.5,NA,4,1,808,341
"152",5036,2026-08-25,6,254,44,73.4,4.65,3.48,3.95,1,NA,3,0,808,343
"153",6144,2025-11-27,2,78,51.4,61.7,3.9,3.65,4,0.5,NA,3,0,808,283
"154",73429,2026-06-05,4,76,62,63.9,4.03,3.43,5,0.5,NA,2,0,808,211
"155",50516,2026-07-15,4,186,50.8,69.6,3.92,3.66,4.5,1,NA,3,1,808,213
"156",5036,2026-01-25,6,42,55.3,55.3,4.54,3.55,4,0,NA,3,0,807,260
"157",5036,2026-02-09,6,57,53,53,4.23,3.5,4,0,NA,3,5,807,296
"158",40304,2025-12-14,4,39,56.3,59.1,3.75,3.27,4,0.5,NA,3,0,807,234
"159",40304,2026-02-02,4,89,50.1,55.6,3.9,3.08,4,0,NA,3,0,807,279
"160",6524,2026-07-11,1,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,807,333
"161",5729,2026-07-11,3,24,48.9,51.8,3.97,3.53,5,0.5,NA,3,0,806,105
"162",5729,2026-07-13,3,26,48.7,51.6,3.73,3.51,5,0.5,NA,2,0,806,92
"163",5963,2026-03-08,3,171,32,45.1,4.84,3.73,2.05,0.31,NA,2,0,806,273
"164",5963,2026-07-27,3,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,128
"165",6506,2026-05-01,1,286,30.1,58.9,6.19,3.96,2.15,0.4,NA,2,0,806,220
"166",6628,2026-02-08,1,75,38.9,58.8,4.1,3.62,3.5,0,NA,2,0,806,330
"167",5036,2026-01-14,6,31,46.7,47.7,4.65,3.61,4,0,NA,2,0,805,202
"168",5036,2026-02-27,6,75,54.6,56.8,4.84,3.81,4,0,NA,4,3,805,318
"169",5963,2025-12-07,3,80,37.9,43.5,4.34,3.58,4,0.5,NA,2,0,805,107
"170",5963,2026-03-07,3,170,30.2,42.6,4.82,3.71,2.07,0.31,NA,1,0,805,216
"171",5036,2026-06-02,6,170,43.8,56.9,4.62,3.81,4.03,1,NA,3,1,804,244
"172",5729,2026-07-10,3,23,48.9,51.8,4.08,3.48,5,0.5,NA,3,0,804,123
"173",5036,2025-11-14,5,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,803,303
"174",5036,2026-01-31,6,48,52.8,52.8,4.48,3.51,4,0,NA,4,3,803,311
"175",5729,2026-02-25,2,214,45.8,71.5,4.31,3.42,3.5,0.5,NA,2,0,803,136
"176",5652,2026-05-30,4,166,39.2,51.3,4.18,3.7,3.46,1,NA,3,3,803,230
"177",6153,2025-11-30,2,82,37.5,47.7,4.44,3.33,4,0.5,NA,2,0,803,203
"178",6153,2026-01-16,2,129,35.5,48.3,5.07,3.46,4,0,NA,3,1,803,211
"179",40304,2026-03-01,4,116,51.8,60.1,3.96,3.26,4,0,NA,3,0,803,283
"180",5963,2025-12-02,3,75,40.4,46.5,4.44,3.62,4,0.5,NA,2,0,802,287
"181",5963,2026-01-25,3,129,35.7,46.7,4.73,3.64,4,0,NA,3,0,802,208
"182",50516,2026-07-13,4,184,51.4,70.4,3.84,3.65,4.5,1,NA,2,0,802,226
"183",6153,2025-12-17,2,99,37.6,47.7,4.62,3.5,4,0.5,NA,3,0,801,247
"184",5963,2026-03-09,3,172,30.9,43.6,4.8,3.76,2.12,0.32,NA,2,0,801,249
"185",5963,2026-05-01,3,225,32.3,51.4,5,3.8,2.33,0.35,NA,2,0,801,207
"186",73429,2026-06-12,4,83,63.6,68.7,4.01,3.51,5,0.5,NA,3,0,801,183
"187",5036,2026-02-11,6,59,51.5,51.5,4.2,3.52,4,0,NA,4,4,800,290
"188",5036,2026-03-01,6,77,49.2,51.2,4.12,3.9,4,0,NA,2,8,800,337
"189",5036,2026-03-09,6,85,51.4,55.5,4.44,3.83,4,0,NA,3,1,800,338
"190",5036,2026-06-27,6,195,43.3,59.4,4.45,3.78,3.97,1,NA,3,0,800,265
"191",6153,2025-12-08,2,90,37.9,48.2,4.29,3.56,4,0.5,NA,2,0,800,285
"192",6144,2026-03-15,2,186,43.5,65.3,3.97,3.81,3.12,0.45,NA,2,0,800,424
"193",6144,2026-07-01,2,294,39.5,73.9,4.02,3.66,3.71,1,NA,1,2,800,284
"194",40304,2026-05-02,4,178,51,66.8,3.96,3.32,3.5,0.5,NA,3,0,800,281
"195",5036,2026-05-06,6,143,46.6,57.8,4.7,3.67,3.68,0.33,NA,3,0,799,234
"196",5036,2026-07-14,6,212,43.4,62.9,4.63,3.81,3.97,1,NA,4,8,799,281
"197",6153,2025-12-19,2,101,37.5,49.5,5.04,3.54,4,0.5,NA,3,0,799,293
"198",6153,2026-02-04,2,148,32.3,45.6,5.22,3.47,3.55,0.45,NA,2,0,799,230
"199",5963,2026-05-16,3,240,28.7,45.6,5,3.73,2.16,1,NA,1,0,799,194
"200",40304,2026-03-20,4,135,50.7,61.9,3.84,3.19,3.88,0.13,NA,3,2,799,172
"201",73429,2026-07-09,4,110,53.6,61.1,4.25,3.47,5,0.5,NA,3,1,799,201
"202",50516,2026-08-15,4,217,51.1,74.1,3.73,3.38,4.37,1,NA,3,0,799,218
"203",6628,2026-03-07,1,102,36.9,57.9,4.26,3.79,3.5,0,NA,2,4,799,354
"204",5036,2025-12-18,6,4,37.5,NA,4.01,4.87,2.38,0.5,NA,2,5,798,216
"205",5036,2026-02-10,6,58,51.8,51.8,4.28,3.53,4,0,NA,3,2,798,299
"206",5036,2026-04-19,6,126,44.3,52.8,4.72,3.77,4,0,NA,3,5,798,352
"207",5729,2025-12-30,2,157,54.5,75.8,4.35,3.21,4,0.5,NA,3,0,798,157
"208",5714,2026-03-11,4,23,46.6,48,3.9,3.78,4,0,NA,4,16,798,313
"209",6144,2026-05-13,2,245,44.2,73.8,3.79,3.65,3.14,0.8,NA,2,0,798,319
"210",5963,2026-05-12,3,236,34.5,54.9,4.89,3.74,2.34,0.5,NA,2,0,798,163
"211",5963,2026-05-27,3,251,29.1,48.5,5.09,3.76,2.1,1,NA,2,0,798,184
"212",40392,2026-06-23,4,198,30.8,42.1,3.81,3.76,3.11,1,NA,1,0,798,211
"213",40304,2026-02-04,4,91,54.4,60.3,3.86,3.02,4,0,NA,2,0,798,265
"214",6628,2026-05-22,1,178,37.6,62.5,3.71,3.72,2.39,1,NA,3,5,798,275
"215",5036,2026-02-06,6,54,52,52,4.15,3.47,4,0,NA,3,0,797,334
"216",5036,2026-07-21,6,219,44.2,64.1,4.56,3.79,5.04,0,NA,3,2,797,311
"217",6144,2026-06-05,2,268,30.5,53.7,4.06,3.67,3.61,1,NA,2,0,797,300
"218",5963,2026-05-11,3,235,34.9,55.5,5.04,3.7,2.15,0.32,NA,2,0,797,253
"219",5963,2026-05-20,3,244,34.2,57.2,4.98,3.73,2.3,1,NA,2,0,797,184
"220",40304,2026-06-05,4,212,51.1,72.5,3.78,3.26,4.5,1,NA,4,2,797,187
"221",6640,2026-05-25,1,208,28.5,51.4,4.68,3.58,1.94,1,NA,2,0,797,188
"222",5036,2026-03-25,6,101,40.6,46.3,4.84,3.79,4,0,NA,3,0,796,255
"223",5036,2026-07-01,6,199,40.2,55,4.6,3.71,3.92,1,NA,4,0,796,295
"224",6628,2025-12-03,1,8,36.1,66.4,3.73,3.25,2.45,0.5,NA,4,5,796,217
"225",6628,2026-01-30,1,66,38.4,58,4.02,3.6,3.5,0,NA,2,0,796,316
"226",6628,2026-01-31,1,67,38.4,58,4.04,3.6,3.5,0,NA,2,0,796,299
"227",6628,2026-02-07,1,74,36.6,55.3,4,3.63,3.5,0,NA,2,0,796,327
"228",6628,2026-06-22,1,209,38.1,65.2,3.75,3.51,4,0.9,NA,4,2,796,314
"229",5036,2026-02-26,6,74,50.2,52.2,4.24,3.84,4,0,NA,3,10,795,358
"230",5036,2026-03-03,6,79,50.5,52.6,4.65,3.73,4,0,NA,4,1,795,315
"231",5729,2025-11-18,2,115,47.9,60.9,3.98,3.26,4,0.5,NA,3,0,795,255
"232",5729,2026-07-14,3,27,48.4,51.4,3.89,3.51,5,0.5,NA,3,0,795,88
"233",5963,2026-05-05,3,229,34.5,54.9,4.85,3.75,2.23,0.33,NA,2,0,795,166
"234",40304,2026-05-08,4,184,53.3,72.4,3.8,3.27,3.5,0.5,NA,2,0,795,278
"235",73429,2026-05-01,4,41,65.2,65.2,4.3,3.42,4,0,NA,3,1,795,253
"236",73429,2026-08-20,4,152,54.4,68.5,4.29,3.41,4.5,1,NA,2,0,795,12
"237",6524,2026-05-16,1,248,26.7,46.7,4.42,3.88,1.8,1,NA,2,3,794,297
"238",6628,2026-06-24,1,211,37.7,64.4,3.79,3.6,4,0.9,NA,3,10,794,267
"239",6964,2026-07-05,1,130,29.5,49.9,4.08,3.51,4.5,0.5,NA,3,2,794,307
"240",5036,2025-12-31,6,17,49.4,55.8,4.22,3.72,3.62,0.5,NA,4,1,793,352
"241",5036,2026-05-07,6,144,46.3,57.5,4.43,3.72,3.65,0.35,NA,3,1,793,298
"242",5729,2026-07-04,3,17,46.5,50.3,4.09,3.65,4.33,0.5,NA,4,2,793,96
"243",5963,2026-02-24,3,159,35,47.3,4.68,3.71,2.6,0.34,NA,2,0,793,214
"244",40304,2026-02-01,4,88,55.4,61.5,3.67,3.05,4,0,NA,3,0,793,302
"245",5036,2026-06-26,6,194,43.2,59.1,4.58,3.75,3.98,1,NA,3,0,792,258
"246",5729,2025-12-08,2,135,56,74.5,4.27,3.27,4,0.5,NA,4,1,792,68
"247",5652,2026-03-05,4,80,43.2,45.3,4.17,3.77,4,0,NA,2,0,792,274
"248",5637,2026-03-28,4,102,53.6,61.7,4.27,3.63,4,0,NA,3,1,792,333
"249",5963,2025-12-04,3,77,38,43.7,4.31,3.58,4,0.5,NA,2,0,792,305
"250",5642,2026-03-16,4,106,58,67.3,4.29,3.36,4,0,NA,3,5,791,411
"251",5729,2026-03-02,2,219,48.7,75.9,4.26,3.42,3.5,0.5,NA,2,0,791,139
"252",5729,2026-03-05,2,222,49.8,81.7,4.49,3.39,3.5,0.5,NA,4,0,791,92
"253",5729,2026-03-17,2,234,50.4,82.7,4.38,3.39,3.48,0.5,NA,4,1,791,154
"254",5635,2026-03-06,4,131,51.7,63.1,4.72,3.23,3.98,0.03,NA,3,0,791,272
"255",6153,2026-06-04,2,268,25.2,45.4,5.02,3.53,2.48,1,NA,2,1,791,228
"256",40304,2025-12-05,4,30,54.6,57.3,3.73,3.33,4,0.5,NA,3,2,791,264
"257",73429,2026-07-16,4,117,50.9,58,4.05,3.5,5.3,0.3,NA,2,0,791,164
"258",6153,2025-11-28,2,80,36.6,44.3,4.46,3.36,4,0.5,NA,2,0,790,211
"259",6153,2026-01-13,2,126,35.6,48.4,5.2,3.47,4,0,NA,3,1,790,235
"260",5963,2026-02-22,3,157,32.7,44.1,5,3.51,2.8,0.33,NA,2,0,790,290
"261",73429,2026-07-03,4,104,52.6,60,4.27,3.47,5,0.5,NA,2,0,790,189
"262",6964,2026-06-18,1,113,33.6,55.1,4.13,3.58,4.5,0.5,NA,3,4,790,181
"263",6985,2026-06-28,1,43,39.1,62.1,4.22,3.43,4.5,0.5,NA,1,0,790,211
"264",5500,2026-05-21,3,583,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,257
"265",40362,2026-09-08,4,278,NA,NA,NA,NA,2.63,1,NA,NA,NA,79,209
"266",5036,2026-01-01,6,18,53.2,60.1,4.17,3.71,3.71,0.5,NA,3,3,789,310
"267",5036,2026-05-04,6,141,39.6,49.2,4.59,3.8,3.73,0.28,NA,3,0,789,283
"268",5036,2026-05-21,6,158,46,57,4.51,3.76,3.09,1,NA,3,1,789,304
"269",5729,2026-07-16,3,29,47.9,50.8,3.81,3.52,5.3,0.3,NA,2,0,789,127
"270",5963,2025-11-29,3,72,41.1,47.3,4.11,3.61,4,0.5,NA,2,0,789,182
"271",5963,2026-02-26,3,161,31.2,44,4.64,3.78,2.4,0.34,NA,2,0,789,184
"272",50729,2025-12-02,4,102,45.1,54.6,4.53,3.55,4,0.5,NA,3,0,789,304
"273",6985,2026-06-21,1,36,42.9,70.8,4.37,3.45,4.5,0.5,NA,3,1,789,211
"274",5036,2025-12-22,6,8,48.3,54.5,3.7,4.16,2.76,0.5,NA,2,3,788,333
"275",5036,2026-02-05,6,53,51.5,51.5,4.33,3.46,4,0,NA,3,0,788,280
"276",5036,2026-02-23,6,71,50.4,52.4,4.03,3.8,4,0,NA,3,2,788,358
"277",5036,2026-08-28,6,257,41.6,69.5,4.79,3.57,4.01,1,NA,3,0,788,370
"278",5729,2025-11-15,2,112,49.8,63.3,4.06,3.27,4,0.5,NA,2,0,788,210
